TransactionID,UserID,CourseID,TransactionDate,Amount,PaymentMethod,TeacherID,UserName,Gender,Email,TeacherName,TAge,TGender,Expertise,YearsOfExperience,TeacherRating,CourseName,CourseCategory,CourseType,CourseLevel,CoursePrice,CourseDuration,CourseRating,AgeGroup
TT00015,U00015,CR00046,2025-02-19,248.1,Bank Transfer,TC00040,tbaker,Female,kelly33@yahoo.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,AI for Beginners,Artificial Intelligence,Paid,Beginner,248.1,9.4,1.2,23-27
TT00016,U00015,CR00040,2025-12-22,327.99,Credit Card,TC00040,tbaker,Female,kelly33@yahoo.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,Leadership in Projects,Project Management,Paid,Beginner,327.99,12.13,1.51,23-27
TT00017,U00015,CR00019,2025-07-14,0.0,Bank Transfer,TC00042,tbaker,Female,kelly33@yahoo.com,Yolanda Levine,49,Female,Machine Learning,21,4.97,Content Marketing,Marketing,Free,Advanced,0.0,18.0,2.98,23-27
TT00018,U00018,CR00046,2025-05-22,248.1,Credit Card,TC00040,nicole97,Female,aprilharrell@hotmail.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,AI for Beginners,Artificial Intelligence,Paid,Beginner,248.1,9.4,1.2,23-27
TT00019,U00018,CR00047,2025-04-21,89.59,PayPal,TC00040,nicole97,Female,aprilharrell@hotmail.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,Natural Language Processing,Artificial Intelligence,Paid,Intermediate,89.59,1.55,2.68,23-27
TT00020,U00018,CR00045,2025-01-12,0.0,Credit Card,TC00040,nicole97,Female,aprilharrell@hotmail.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,Financial Modeling,Finance,Free,Advanced,0.0,6.36,1.59,23-27
TT00021,U00018,CR00001,2025-03-24,472.28,PayPal,TC00042,nicole97,Female,aprilharrell@hotmail.com,Yolanda Levine,49,Female,Machine Learning,21,4.97,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,23-27
TT00022,U00018,CR00029,2025-01-20,0.0,Credit Card,TC00042,nicole97,Female,aprilharrell@hotmail.com,Yolanda Levine,49,Female,Machine Learning,21,4.97,Natural Language Processing,Machine Learning,Free,Beginner,0.0,16.33,1.13,23-27
TT00023,U00028,CR00040,2025-05-06,327.99,Bank Transfer,TC00042,zgomez,Female,rwhitaker@outlook.com,Yolanda Levine,49,Female,Machine Learning,21,4.97,Leadership in Projects,Project Management,Paid,Beginner,327.99,12.13,1.51,28-32
TT00024,U00028,CR00010,2025-08-12,0.0,Bank Transfer,TC00042,zgomez,Female,rwhitaker@outlook.com,Yolanda Levine,49,Female,Machine Learning,21,4.97,3D Modeling,Design,Free,Advanced,0.0,15.29,4.45,28-32
TT00025,U00028,CR00056,2025-03-04,212.39,Credit Card,TC00040,zgomez,Female,rwhitaker@outlook.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,Google Ads Mastery,Digital Marketing,Paid,Advanced,212.39,22.89,3.15,28-32
TT00026,U00028,CR00021,2025-04-17,0.0,Credit Card,TC00040,zgomez,Female,rwhitaker@outlook.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,Data Analysis with Python,Data Science,Free,Intermediate,0.0,1.2,3.6,28-32
TT00027,U00028,CR00031,2025-04-20,0.0,Bank Transfer,TC00040,zgomez,Female,rwhitaker@outlook.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,Network Security,Cybersecurity,Free,Intermediate,0.0,26.52,1.91,28-32
TT00028,U00045,CR00043,2025-05-06,0.0,Credit Card,TC00040,rodneystevens,Female,mitchellwilliam@yahoo.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,Corporate Finance,Finance,Free,Beginner,0.0,31.77,4.14,23-27
TT00029,U00045,CR00036,2025-04-28,0.0,PayPal,TC00040,rodneystevens,Female,mitchellwilliam@yahoo.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,Agile Project Management,Project Management,Free,Beginner,0.0,15.75,4.68,23-27
TT00030,U00045,CR00045,2025-07-10,0.0,Bank Transfer,TC00040,rodneystevens,Female,mitchellwilliam@yahoo.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,Financial Modeling,Finance,Free,Advanced,0.0,6.36,1.59,23-27
TT00031,U00045,CR00035,2025-07-27,0.0,Credit Card,TC00040,rodneystevens,Female,mitchellwilliam@yahoo.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,23-27
TT00032,U00048,CR00022,2025-11-19,0.0,Bank Transfer,TC00040,willie71,Male,zgarza@hotmail.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,Data Visualization,Data Science,Free,Beginner,0.0,32.64,3.65,18-22
TT00033,U00048,CR00016,2025-03-21,0.0,Bank Transfer,TC00040,willie71,Male,zgarza@hotmail.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,Digital Marketing,Marketing,Free,Intermediate,0.0,42.68,4.72,18-22
TT00034,U00048,CR00037,2025-05-25,0.0,PayPal,TC00040,willie71,Male,zgarza@hotmail.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,Scrum Essentials,Project Management,Free,Intermediate,0.0,33.93,3.45,18-22
TT00035,U00048,CR00025,2025-05-08,299.57,Credit Card,TC00040,willie71,Male,zgarza@hotmail.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,Statistical Analysis,Data Science,Paid,Beginner,299.57,48.32,3.74,18-22
TT00036,U00055,CR00058,2025-04-29,0.0,Bank Transfer,TC00040,hallandrea,Female,michelle73@gmail.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,Social Media Strategy,Digital Marketing,Free,Beginner,0.0,1.46,4.44,28-32
TT00037,U00055,CR00057,2025-05-17,177.34,PayPal,TC00040,hallandrea,Female,michelle73@gmail.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,SEO for E-commerce,Digital Marketing,Paid,Advanced,177.34,49.73,3.89,28-32
TT00038,U00055,CR00014,2025-09-21,0.0,Credit Card,TC00040,hallandrea,Female,michelle73@gmail.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,Sales Mastery,Business,Free,Advanced,0.0,22.29,3.15,28-32
TT00039,U00055,CR00016,2025-06-02,0.0,Credit Card,TC00042,hallandrea,Female,michelle73@gmail.com,Yolanda Levine,49,Female,Machine Learning,21,4.97,Digital Marketing,Marketing,Free,Intermediate,0.0,42.68,4.72,28-32
TT00040,U00055,CR00051,2025-09-14,37.89,PayPal,TC00042,hallandrea,Female,michelle73@gmail.com,Yolanda Levine,49,Female,Machine Learning,21,4.97,HTML & CSS,Web Development,Paid,Advanced,37.89,24.11,1.3,28-32
TT00041,U00071,CR00025,2025-03-02,299.57,Credit Card,TC00042,kevin94,Female,gonzalezchristine@hotmail.com,Yolanda Levine,49,Female,Machine Learning,21,4.97,Statistical Analysis,Data Science,Paid,Beginner,299.57,48.32,3.74,28-32
TT00042,U00071,CR00048,2025-03-18,0.0,Bank Transfer,TC00042,kevin94,Female,gonzalezchristine@hotmail.com,Yolanda Levine,49,Female,Machine Learning,21,4.97,AI Ethics,Artificial Intelligence,Free,Beginner,0.0,42.7,3.64,28-32
TT00043,U00071,CR00015,2025-10-16,285.05,Bank Transfer,TC00040,kevin94,Female,gonzalezchristine@hotmail.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,Leadership Essentials,Business,Paid,Beginner,285.05,34.78,1.96,28-32
TT00044,U00083,CR00028,2025-12-08,0.78,PayPal,TC00042,james92,Male,kconrad@gmail.com,Yolanda Levine,49,Female,Machine Learning,21,4.97,Deep Learning,Machine Learning,Paid,Advanced,0.78,44.96,3.89,<18
TT00045,U00083,CR00054,2025-09-09,0.0,Bank Transfer,TC00042,james92,Male,kconrad@gmail.com,Yolanda Levine,49,Female,Machine Learning,21,4.97,Backend Development with Node.js,Web Development,Free,Beginner,0.0,48.57,3.32,<18
TT00046,U00083,CR00044,2025-09-21,119.04,Credit Card,TC00040,james92,Male,kconrad@gmail.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,Personal Finance,Finance,Paid,Intermediate,119.04,23.41,2.75,<18
TT00047,U00083,CR00040,2025-11-15,327.99,PayPal,TC00040,james92,Male,kconrad@gmail.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,Leadership in Projects,Project Management,Paid,Beginner,327.99,12.13,1.51,<18
TT00048,U00085,CR00035,2025-11-11,0.0,Bank Transfer,TC00040,scottluna,Female,adam86@yahoo.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,18-22
TT00049,U00085,CR00053,2025-06-15,0.0,Credit Card,TC00040,scottluna,Female,adam86@yahoo.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,React for Beginners,Web Development,Free,Advanced,0.0,40.07,2.67,18-22
TT00050,U00085,CR00002,2025-03-01,0.0,Credit Card,TC00042,scottluna,Female,adam86@yahoo.com,Yolanda Levine,49,Female,Machine Learning,21,4.97,Java Programming,Programming,Free,Intermediate,0.0,37.7,2.43,18-22
TT00051,U00109,CR00002,2025-04-26,0.0,PayPal,TC00040,amyschmidt,Female,alicia06@yahoo.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,Java Programming,Programming,Free,Intermediate,0.0,37.7,2.43,<18
TT00052,U00109,CR00023,2025-02-11,0.0,Credit Card,TC00040,amyschmidt,Female,alicia06@yahoo.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,Machine Learning Fundamentals,Data Science,Free,Intermediate,0.0,9.71,3.02,<18
TT00053,U00109,CR00054,2025-02-21,0.0,Credit Card,TC00040,amyschmidt,Female,alicia06@yahoo.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,Backend Development with Node.js,Web Development,Free,Beginner,0.0,48.57,3.32,<18
TT00054,U00112,CR00024,2025-10-21,117.68,PayPal,TC00042,williamswilliam,Female,qmiller@yahoo.com,Yolanda Levine,49,Female,Machine Learning,21,4.97,Big Data Analytics,Data Science,Paid,Advanced,117.68,48.09,2.57,33+
TT00055,U00112,CR00036,2025-04-07,0.0,PayPal,TC00040,williamswilliam,Female,qmiller@yahoo.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,Agile Project Management,Project Management,Free,Beginner,0.0,15.75,4.68,33+
TT00056,U00112,CR00007,2025-02-22,0.0,PayPal,TC00040,williamswilliam,Female,qmiller@yahoo.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,UI/UX Design,Design,Free,Advanced,0.0,48.68,2.61,33+
TT00057,U00112,CR00016,2025-06-05,0.0,Bank Transfer,TC00042,williamswilliam,Female,qmiller@yahoo.com,Yolanda Levine,49,Female,Machine Learning,21,4.97,Digital Marketing,Marketing,Free,Intermediate,0.0,42.68,4.72,33+
TT00058,U00112,CR00023,2025-02-25,0.0,PayPal,TC00040,williamswilliam,Female,qmiller@yahoo.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,Machine Learning Fundamentals,Data Science,Free,Intermediate,0.0,9.71,3.02,33+
TT00059,U00117,CR00008,2025-10-15,0.0,PayPal,TC00042,kristin26,Female,megan10@gmail.com,Yolanda Levine,49,Female,Machine Learning,21,4.97,Photoshop Mastery,Design,Free,Advanced,0.0,2.87,1.52,18-22
TT00060,U00117,CR00027,2025-08-03,0.0,Credit Card,TC00042,kristin26,Female,megan10@gmail.com,Yolanda Levine,49,Female,Machine Learning,21,4.97,Neural Networks,Machine Learning,Free,Advanced,0.0,9.3,1.81,18-22
TT00061,U00117,CR00001,2025-11-28,472.28,PayPal,TC00040,kristin26,Female,megan10@gmail.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,18-22
TT00062,U00126,CR00060,2025-07-17,0.0,PayPal,TC00042,zhall,Female,juliecervantes@yahoo.com,Yolanda Levine,49,Female,Machine Learning,21,4.97,Content Creation,Digital Marketing,Free,Beginner,0.0,8.95,2.14,23-27
TT00063,U00126,CR00036,2025-10-01,0.0,Credit Card,TC00042,zhall,Female,juliecervantes@yahoo.com,Yolanda Levine,49,Female,Machine Learning,21,4.97,Agile Project Management,Project Management,Free,Beginner,0.0,15.75,4.68,23-27
TT00064,U00126,CR00050,2025-01-06,490.9,Bank Transfer,TC00042,zhall,Female,juliecervantes@yahoo.com,Yolanda Levine,49,Female,Machine Learning,21,4.97,Computer Vision,Artificial Intelligence,Paid,Beginner,490.9,7.55,4.55,23-27
TT00065,U00126,CR00028,2025-04-16,0.78,Credit Card,TC00042,zhall,Female,juliecervantes@yahoo.com,Yolanda Levine,49,Female,Machine Learning,21,4.97,Deep Learning,Machine Learning,Paid,Advanced,0.78,44.96,3.89,23-27
TT00066,U00128,CR00027,2025-02-21,0.0,Credit Card,TC00042,misty15,Female,thomasharris@yahoo.com,Yolanda Levine,49,Female,Machine Learning,21,4.97,Neural Networks,Machine Learning,Free,Advanced,0.0,9.3,1.81,33+
TT00067,U00128,CR00054,2025-12-10,0.0,PayPal,TC00042,misty15,Female,thomasharris@yahoo.com,Yolanda Levine,49,Female,Machine Learning,21,4.97,Backend Development with Node.js,Web Development,Free,Beginner,0.0,48.57,3.32,33+
TT00068,U00128,CR00050,2025-01-03,490.9,Credit Card,TC00040,misty15,Female,thomasharris@yahoo.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,Computer Vision,Artificial Intelligence,Paid,Beginner,490.9,7.55,4.55,33+
TT00069,U00133,CR00052,2025-06-05,0.0,Credit Card,TC00042,mccarthyscott,Male,raymondthomas@gmail.com,Yolanda Levine,49,Female,Machine Learning,21,4.97,JavaScript Mastery,Web Development,Free,Beginner,0.0,40.76,2.2,18-22
TT00070,U00133,CR00010,2025-07-19,0.0,PayPal,TC00042,mccarthyscott,Male,raymondthomas@gmail.com,Yolanda Levine,49,Female,Machine Learning,21,4.97,3D Modeling,Design,Free,Advanced,0.0,15.29,4.45,18-22
TT00071,U00133,CR00041,2025-10-10,53.86,Credit Card,TC00042,mccarthyscott,Male,raymondthomas@gmail.com,Yolanda Levine,49,Female,Machine Learning,21,4.97,Financial Accounting,Finance,Paid,Beginner,53.86,47.08,2.47,18-22
TT00072,U00133,CR00055,2025-07-05,57.32,Credit Card,TC00040,mccarthyscott,Male,raymondthomas@gmail.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,18-22
TT00073,U00133,CR00004,2025-03-24,0.0,Credit Card,TC00040,mccarthyscott,Male,raymondthomas@gmail.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,Advanced Python,Programming,Free,Beginner,0.0,45.13,2.88,18-22
TT00074,U00134,CR00055,2025-02-11,57.32,PayPal,TC00040,syoung,Female,kroy@gmail.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,23-27
TT00075,U00134,CR00012,2025-12-29,487.92,PayPal,TC00040,syoung,Female,kroy@gmail.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,Business Strategy,Business,Paid,Advanced,487.92,36.01,3.64,23-27
TT00076,U00134,CR00030,2025-08-17,0.0,Credit Card,TC00042,syoung,Female,kroy@gmail.com,Yolanda Levine,49,Female,Machine Learning,21,4.97,Reinforcement Learning,Machine Learning,Free,Intermediate,0.0,38.49,1.73,23-27
TT00077,U00134,CR00011,2025-10-17,326.02,Credit Card,TC00040,syoung,Female,kroy@gmail.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,Entrepreneurship 101,Business,Paid,Intermediate,326.02,11.31,2.69,23-27
TT00078,U00144,CR00032,2025-12-28,0.0,Bank Transfer,TC00040,rodgerspaul,Female,amy66@hotmail.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,Ethical Hacking,Cybersecurity,Free,Advanced,0.0,16.74,2.38,23-27
TT00079,U00144,CR00020,2025-10-03,0.0,Credit Card,TC00042,rodgerspaul,Female,amy66@hotmail.com,Yolanda Levine,49,Female,Machine Learning,21,4.97,Email Marketing,Marketing,Free,Intermediate,0.0,46.25,4.11,23-27
TT00080,U00144,CR00042,2025-07-13,0.0,Bank Transfer,TC00040,rodgerspaul,Female,amy66@hotmail.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,Investment Strategies,Finance,Free,Intermediate,0.0,34.83,4.1,23-27
TT00081,U00144,CR00012,2025-03-18,487.92,Credit Card,TC00042,rodgerspaul,Female,amy66@hotmail.com,Yolanda Levine,49,Female,Machine Learning,21,4.97,Business Strategy,Business,Paid,Advanced,487.92,36.01,3.64,23-27
TT00082,U00147,CR00007,2025-09-02,0.0,PayPal,TC00040,patricklaura,Male,barbarapatterson@yahoo.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,UI/UX Design,Design,Free,Advanced,0.0,48.68,2.61,28-32
TT00083,U00147,CR00021,2025-12-03,0.0,PayPal,TC00040,patricklaura,Male,barbarapatterson@yahoo.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,Data Analysis with Python,Data Science,Free,Intermediate,0.0,1.2,3.6,28-32
TT00084,U00147,CR00044,2025-09-30,119.04,PayPal,TC00042,patricklaura,Male,barbarapatterson@yahoo.com,Yolanda Levine,49,Female,Machine Learning,21,4.97,Personal Finance,Finance,Paid,Intermediate,119.04,23.41,2.75,28-32
TT00085,U00147,CR00001,2025-11-14,472.28,Credit Card,TC00042,patricklaura,Male,barbarapatterson@yahoo.com,Yolanda Levine,49,Female,Machine Learning,21,4.97,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,28-32
TT00086,U00149,CR00021,2025-03-11,0.0,Bank Transfer,TC00040,jacksonanthony,Female,yspencer@gmail.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,Data Analysis with Python,Data Science,Free,Intermediate,0.0,1.2,3.6,<18
TT00087,U00149,CR00032,2025-02-24,0.0,Bank Transfer,TC00040,jacksonanthony,Female,yspencer@gmail.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,Ethical Hacking,Cybersecurity,Free,Advanced,0.0,16.74,2.38,<18
TT00088,U00149,CR00049,2025-07-06,415.51,PayPal,TC00042,jacksonanthony,Female,yspencer@gmail.com,Yolanda Levine,49,Female,Machine Learning,21,4.97,Deep Learning,Artificial Intelligence,Paid,Intermediate,415.51,28.33,3.11,<18
TT00089,U00152,CR00033,2025-05-12,0.0,Credit Card,TC00040,hhill,Female,keith03@outlook.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,Cybersecurity Fundamentals,Cybersecurity,Free,Intermediate,0.0,48.25,3.93,18-22
TT00090,U00152,CR00001,2025-11-05,472.28,Credit Card,TC00042,hhill,Female,keith03@outlook.com,Yolanda Levine,49,Female,Machine Learning,21,4.97,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,18-22
TT00091,U00152,CR00008,2025-04-20,0.0,PayPal,TC00040,hhill,Female,keith03@outlook.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,Photoshop Mastery,Design,Free,Advanced,0.0,2.87,1.52,18-22
TT00092,U00161,CR00024,2025-06-27,117.68,PayPal,TC00040,lawrence17,Female,tstone@outlook.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,Big Data Analytics,Data Science,Paid,Advanced,117.68,48.09,2.57,23-27
TT00093,U00161,CR00042,2025-03-11,0.0,Bank Transfer,TC00042,lawrence17,Female,tstone@outlook.com,Yolanda Levine,49,Female,Machine Learning,21,4.97,Investment Strategies,Finance,Free,Intermediate,0.0,34.83,4.1,23-27
TT00094,U00161,CR00008,2025-04-16,0.0,Credit Card,TC00042,lawrence17,Female,tstone@outlook.com,Yolanda Levine,49,Female,Machine Learning,21,4.97,Photoshop Mastery,Design,Free,Advanced,0.0,2.87,1.52,23-27
TT00095,U00161,CR00054,2025-10-07,0.0,Credit Card,TC00040,lawrence17,Female,tstone@outlook.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,Backend Development with Node.js,Web Development,Free,Beginner,0.0,48.57,3.32,23-27
TT00096,U00166,CR00002,2025-01-03,0.0,Bank Transfer,TC00040,campbellkelsey,Male,hinesjoshua@gmail.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,Java Programming,Programming,Free,Intermediate,0.0,37.7,2.43,33+
TT00097,U00166,CR00004,2025-07-11,0.0,Credit Card,TC00042,campbellkelsey,Male,hinesjoshua@gmail.com,Yolanda Levine,49,Female,Machine Learning,21,4.97,Advanced Python,Programming,Free,Beginner,0.0,45.13,2.88,33+
TT00098,U00166,CR00020,2025-12-11,0.0,PayPal,TC00042,campbellkelsey,Male,hinesjoshua@gmail.com,Yolanda Levine,49,Female,Machine Learning,21,4.97,Email Marketing,Marketing,Free,Intermediate,0.0,46.25,4.11,33+
TT00099,U00166,CR00018,2025-10-30,0.0,Credit Card,TC00040,campbellkelsey,Male,hinesjoshua@gmail.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,Social Media Marketing,Marketing,Free,Advanced,0.0,15.44,2.01,33+
TT00100,U00169,CR00013,2025-04-20,0.0,PayPal,TC00042,vasquezjohn,Male,youngmaurice@yahoo.com,Yolanda Levine,49,Female,Machine Learning,21,4.97,Finance for Startups,Business,Free,Advanced,0.0,15.84,2.0,23-27
TT00101,U00169,CR00044,2025-04-29,119.04,Credit Card,TC00040,vasquezjohn,Male,youngmaurice@yahoo.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,Personal Finance,Finance,Paid,Intermediate,119.04,23.41,2.75,23-27
TT00102,U00169,CR00034,2025-11-24,394.26,PayPal,TC00040,vasquezjohn,Male,youngmaurice@yahoo.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,Data Encryption,Cybersecurity,Paid,Intermediate,394.26,47.44,1.35,23-27
TT00103,U00169,CR00027,2025-02-15,0.0,Bank Transfer,TC00042,vasquezjohn,Male,youngmaurice@yahoo.com,Yolanda Levine,49,Female,Machine Learning,21,4.97,Neural Networks,Machine Learning,Free,Advanced,0.0,9.3,1.81,23-27
TT00104,U00173,CR00016,2025-04-03,0.0,Credit Card,TC00040,fernando38,Male,patriciagarcia@gmail.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,Digital Marketing,Marketing,Free,Intermediate,0.0,42.68,4.72,28-32
TT00105,U00173,CR00029,2025-07-26,0.0,PayPal,TC00042,fernando38,Male,patriciagarcia@gmail.com,Yolanda Levine,49,Female,Machine Learning,21,4.97,Natural Language Processing,Machine Learning,Free,Beginner,0.0,16.33,1.13,28-32
TT00106,U00173,CR00048,2025-09-13,0.0,Bank Transfer,TC00042,fernando38,Male,patriciagarcia@gmail.com,Yolanda Levine,49,Female,Machine Learning,21,4.97,AI Ethics,Artificial Intelligence,Free,Beginner,0.0,42.7,3.64,28-32
TT00107,U00177,CR00021,2025-11-24,0.0,Bank Transfer,TC00042,torreschristine,Female,adriana95@yahoo.com,Yolanda Levine,49,Female,Machine Learning,21,4.97,Data Analysis with Python,Data Science,Free,Intermediate,0.0,1.2,3.6,28-32
TT00108,U00177,CR00006,2025-04-09,276.37,PayPal,TC00040,torreschristine,Female,adriana95@yahoo.com,Kimberly Miller,49,Male,Cybersecurity,24,4.58,Graphic Design Basics,Design,Paid,Advanced,276.37,48.84,2.72,28-32
TT00109,U00177,CR00060,2025-09-30,0.0,PayPal,TC00042,torreschristine,Female,adriana95@yahoo.com,Yolanda Levine,49,Female,Machine Learning,21,4.97,Content Creation,Digital Marketing,Free,Beginner,0.0,8.95,2.14,28-32
TT00110,U00177,CR00002,2025-03-19,0.0,Bank Transfer,TC00042,torreschristine,Female,adriana95@yahoo.com,Yolanda Levine,49,Female,Machine Learning,21,4.97,Java Programming,Programming,Free,Intermediate,0.0,37.7,2.43,28-32
TT00111,U00177,CR00055,2025-04-14,57.32,PayPal,TC00042,torreschristine,Female,adriana95@yahoo.com,Yolanda Levine,49,Female,Machine Learning,21,4.97,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,28-32
